id,variant_color,variant_size,normalized_size,normalized_color,size_type,product_name,category_name,category_path
f10ebae0-97d5-4791-9189-b48492858391,Black,46,UK 8,Black,,Dolce & Gabbana Silk chiffon shirt with satin details,Shirts,women/clothing/shirts
d44d8b45-eb04-462e-b34d-97f2593331ae,Black,L,S,Black,,Balenciaga Logo wool sweater,Topwear,women/clothing/topwear
2b24be12-0f8f-4a7c-80da-0f9c2bcf6e50,Black,M,S,Black,,Balenciaga Logo wool sweater,Topwear,women/clothing/topwear
93198788-e1fe-4a51-baaf-12c84c3de874,Black,S,S,Black,,Balenciaga Logo wool sweater,Topwear,women/clothing/topwear
0dfd85a2-8f9d-4e0b-845e-1bf295495075,Black,XS,S,Black,,Balenciaga Logo wool sweater,Topwear,women/clothing/topwear
94779506-f988-4aa1-9bca-9a66d09645fe,Fuchsia,M-L,S,Unknown,,SANTA BRAND Trousers Fuchsia,Trousers,women/clothing/trousers
400437fb-14e3-4420-a472-87a1a152d4b4,Fuchsia,XS-S,S,Unknown,,SANTA BRAND Trousers Fuchsia,Trousers,women/clothing/trousers
3cedb3d6-97d3-485a-b001-09947f9af6c8,Fuchsia,UNI,,Unknown,,SANTA BRAND Jackets Fuchsia,Jackets,women/clothing/jackets
4c6dbc33-dc8c-4a87-996f-e28d7fd3b8a3,Black,36,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
da3de04b-bd85-4f19-831a-ec27e83f8b80,Black,36.5,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
d3bf552f-200b-4977-a842-20a97286772d,Black,37,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
c5ba8913-85e2-4bb1-a1d6-bbb3ae8f4857,Black,37.5,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
a2efd77d-e5d8-472b-8f17-26b914c7f104,Black,38,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
d0d4a017-3d88-4414-8428-eb7f04c4cacf,Black,38.5,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
4f132c1a-5950-4426-8b97-14cd00d2a55d,Black,UNI,UK 10,Black,Clothing,WALLET REVERSED HEM SERIES,Wallets,unisex/accessories/wallets
ed91f404-de11-4aee-b8d3-cbdc5693bb02,Black,39,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
ba7bf8b2-ab58-46fa-8294-35842330dc43,Black,39.5,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
6fd519b1-26e4-4f53-b7e0-1bda441d4ecc,Black,40,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
b649505f-eb2c-42c5-bf43-50cc449533ca,Black,41,UK 3,Black,,Dolce & Gabbana ‘Keira’ heeled sandals,Sandals,women/shoes/sandals
0774f3bb-e941-48cd-bd30-7b439b560ec0,Clear Blue,38,M,Blue,,Maison Margiela Inside Out pencil skirt,Skirts,women/clothing/skirts
4b8867de-fa5f-4eef-9caa-448ee45e1bb2,Clear Blue,40,M,Blue,,Maison Margiela Inside Out pencil skirt,Skirts,women/clothing/skirts
7bbf6dd9-00e4-4b0b-b512-87b459756126,Brown,38,UK 5,Brown,,Gabriele Pasini Trousers Brown,Trousers,women/clothing/trousers
1d814d7c-5d43-4539-a538-94337f4ff60e,Black,30,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
094258d6-001d-43e0-9d13-d59d0c5fa2bc,Blue,46,UK 11,Blue,,Kired Coats Blue,Jackets,men/clothing/jackets
87d3b339-b385-4fc8-a9d2-9525035081ac,Blue,48,UK 11,Blue,,Kired Coats Blue,Jackets,men/clothing/jackets
83a0d5ee-1acf-4155-b75a-6d991520ab80,Blue,50,UK 11,Blue,,Kired Coats Blue,Jackets,men/clothing/jackets
73adc45d-86ea-44a6-b461-1f4c86ef8812,Blue,52,UK 11,Blue,,Kired Coats Blue,Jackets,men/clothing/jackets
d1ed539a-1123-4ca2-8b97-f33572dca05d,Blue,54,UK 11,Blue,,Kired Coats Blue,Jackets,men/clothing/jackets
f2471f03-d6f0-4aab-b5bf-adf0a01fea88,Blue,58,UK 11,Blue,,Kired Coats Blue,Jackets,men/clothing/jackets
3f9ec33b-06fc-49c9-abb4-cb46a64cecec,Green,L,S,Green,,5progress Dresses Green,Dresses,women/clothing/dresses
44864980-2792-4abe-af3f-f73358e71e5b,Green,M,S,Green,,5progress Dresses Green,Dresses,women/clothing/dresses
8fc9fa51-1b65-4e41-87aa-c7f9708fe446,Green,S,S,Green,,5progress Dresses Green,Dresses,women/clothing/dresses
beb5c7e4-8891-481d-bd61-f5cbfef9aa49,Green,XS,S,Green,,5progress Dresses Green,Dresses,women/clothing/dresses
